name,address,email,website,phone,postalCode
Au Tonneau,"Rue Beauregard 10, 2520 La Neuveville",,http://www.restaurant-du-tonneau.ch/,+41327513462,2520
Hôtel Jean-Jacques Rousseau,"Promenade JJ Rousseau 1, 2520 La Neuveville",info@jjrousseau.ch,http://www.jjrousseau.ch/,+41327523652,2520
New Croix-Blanche snc,"Grand-Rue 6, 2520 La Neuveville",,http://new-croix-blanche-restaurant.business.site/,+41327610035,2520
le Nénuphar,"Chemin de Saint-Joux 22, 2520 La Neuveville",restlenenuphar@gmail.com,http://www.lenenuphar.ch/,+41327516655,2520
Buvette du Débarcadère,"Chemin des Rives 6, 2520 La Neuveville",,http://www.labuvette2520.ch/,+41794408798,2520
le Bistro chez Pierrette,"Rue Beauregard 3, 2520 La Neuveville",,,+41327511949,2520
Nurhakli Sàrl,"Rue du Marché 16, 2520 La Neuveville",,,+41327511158,2520
de la Plage,"Chemin de la Plage 10, 2520 La Neuveville",,,+41327516762,2520
Pizz'House,"Rue Montagu 3, 2520 La Neuveville",,,+41327515859,2520
Thai Restaurant Pinong,"Rue de la Gare 3, 2520 La Neuveville",mail@pinong.ch,https://www.pinong.ch/,+41327511818,2520
Restaurant L'Or brut,"Grand-Rue 15, 2520 La Neuveville",info@lorbrut.ch,,+41325368269,2520
Pizza Mami,"Rue du Marché 27, 2520 La Neuveville",,,+41794133341,2520
Milord,"Grand-Rue 15, 2520 La Neuveville",1511@mille-or.ch,,+41327511422,2520
Au Banneret,"Rue du Marché 21, 2520 La Neuveville",,,+41327514688,2520
Cafe L'Esperance,"Rue de la Gare 8, 2520 La Neuveville",pascal.imer@bluewin.ch,,+41327516070,2520
Mille Or,"Grand-Rue 15, 2520 La Neuveville",1511@mille-or.ch,,+41327511422,2520
Cem Anil Nurhakli,"Rue du Marché 16, 2520 La Neuveville",,,+41327511158,2520
Ogura Norihiro,"Rue du Marché 21, 2520 La Neuveville",,,+41327610142,2520
Hirt Patrice,"Rue Beauregard 6, 2520 La Neuveville",famillephirt@bluewin.ch,,+41327513440,2520
